Timestamp,CPU,MEMORY
24.11.2015 12:00:00,307,739
24.11.2015 12:05:00,223,963
24.11.2015 12:10:00,134,824
24.11.2015 12:15:00,116,499
24.11.2015 12:20:00,134,292
24.11.2015 12:25:00,117,480
24.11.2015 12:30:00,115,210
24.11.2015 12:35:00,114,218
24.11.2015 12:40:00,113,204
24.11.2015 12:45:00,122,185
24.11.2015 12:50:00,132,278
24.11.2015 12:55:00,119,573
24.11.2015 13:00:00,184,603
24.11.2015 13:05:00,124,748
24.11.2015 13:10:00,126,324
24.11.2015 13:15:00,119,442
24.11.2015 13:20:00,117,295
24.11.2015 13:25:00,113,196
24.11.2015 13:30:00,128,213
24.11.2015 13:35:00,114,319
24.11.2015 13:40:00,113,172
24.11.2015 13:45:00,115,196
24.11.2015 13:50:00,155,510
24.11.2015 13:55:00,120,677
24.11.2015 14:00:00,123,352
24.11.2015 14:05:00,134,371
24.11.2015 14:10:00,113,573
24.11.2015 14:15:00,114,213
24.11.2015 14:20:00,125,196
24.11.2015 14:25:00,168,510
24.11.2015 14:30:00,228,972
24.11.2015 14:35:00,116,811
24.11.2015 14:40:00,116,352
24.11.2015 14:45:00,121,283
24.11.2015 14:50:00,207,906
24.11.2015 14:55:00,111,988
24.11.2015 15:00:00,233,707
24.11.2015 15:05:00,195,890
24.11.2015 15:10:00,155,881
24.11.2015 15:15:00,181,819
24.11.2015 15:20:00,129,770
24.11.2015 15:25:00,112,529
24.11.2015 15:30:00,143,480
24.11.2015 15:35:00,116,657
24.11.2015 15:40:00,113,295
24.11.2015 15:45:00,117,213
24.11.2015 15:50:00,157,374
24.11.2015 15:55:00,133,843
24.11.2015 16:00:00,114,458
24.11.2015 16:05:00,118,262
24.11.2015 16:10:00,120,286
24.11.2015 16:15:00,117,368
24.11.2015 16:20:00,193,852
24.11.2015 16:25:00,183,925
24.11.2015 16:30:00,174,952
24.11.2015 16:35:00,126,698
24.11.2015 16:40:00,177,958
24.11.2015 16:45:00,115,895
24.11.2015 16:50:00,128,409
24.11.2015 16:55:00,114,467
24.11.2015 17:00:00,128,426
24.11.2015 17:05:00,152,832
24.11.2015 17:10:00,113,636
24.11.2015 17:15:00,125,423
24.11.2015 17:20:00,126,316
24.11.2015 17:25:00,113,362
24.11.2015 17:30:00,117,199
24.11.2015 17:35:00,124,223
24.11.2015 17:40:00,121,360
24.11.2015 17:45:00,124,467
24.11.2015 17:50:00,134,379
24.11.2015 17:55:00,112,589
24.11.2015 18:00:00,122,264
24.11.2015 18:05:00,110,395
24.11.2015 18:10:00,111,188
24.11.2015 18:15:00,113,152
24.11.2015 18:20:00,113,166
24.11.2015 18:25:00,112,163
24.11.2015 18:30:00,122,213
24.11.2015 18:35:00,125,671
24.11.2015 18:40:00,120,286
24.11.2015 18:45:00,113,360
24.11.2015 18:50:00,121,136
24.11.2015 18:55:00,112,491
24.11.2015 19:00:00,115,163
24.11.2015 19:05:00,124,335
24.11.2015 19:10:00,113,311
24.11.2015 19:15:00,114,147
24.11.2015 19:20:00,113,182
24.11.2015 19:25:00,112,204
24.11.2015 19:30:00,123,155
24.11.2015 19:35:00,113,349
24.11.2015 19:40:00,113,204
24.11.2015 19:45:00,115,262
24.11.2015 19:50:00,136,242
24.11.2015 19:55:00,112,666
24.11.2015 20:00:00,114,245
24.11.2015 20:05:00,119,289
24.11.2015 20:10:00,119,242
24.11.2015 20:15:00,113,494
24.11.2015 20:20:00,115,188
24.11.2015 20:25:00,113,210
24.11.2015 20:30:00,115,180
24.11.2015 20:35:00,117,103
24.11.2015 20:40:00,115,136
24.11.2015 20:45:00,114,90
24.11.2015 20:50:00,132,248
24.11.2015 20:55:00,112,639
24.11.2015 21:00:00,123,207
24.11.2015 21:05:00,114,344
24.11.2015 21:10:00,121,169
24.11.2015 21:15:00,117,376
24.11.2015 21:20:00,122,251
24.11.2015 21:25:00,113,606
24.11.2015 21:30:00,121,237
24.11.2015 21:35:00,118,442
24.11.2015 21:40:00,145,477
24.11.2015 21:45:00,114,655
24.11.2015 21:50:00,123,254
24.11.2015 21:55:00,112,548
24.11.2015 22:00:00,122,251
24.11.2015 22:05:00,118,311
24.11.2015 22:10:00,111,223
24.11.2015 22:15:00,114,172
24.11.2015 22:20:00,113,125
24.11.2015 22:25:00,122,139
24.11.2015 22:30:00,196,824
24.11.2015 22:35:00,148,958
24.11.2015 22:40:00,190,720
24.11.2015 22:45:00,128,999
24.11.2015 22:50:00,114,507
24.11.2015 22:55:00,123,614
24.11.2015 23:00:00,124,267
24.11.2015 23:05:00,112,491
24.11.2015 23:10:00,111,204
24.11.2015 23:15:00,113,180
24.11.2015 23:20:00,112,90
24.11.2015 23:25:00,114,139
24.11.2015 23:30:00,114,190
24.11.2015 23:35:00,113,218
24.11.2015 23:40:00,114,254
24.11.2015 23:45:00,117,158
24.11.2015 23:50:00,118,100
24.11.2015 23:55:00,126,526
25.11.2015 00:00:00,121,215
25.11.2015 00:05:00,107,215
